Number of Estimators,Test Size,Accuracy,Random State for splitting,Random State for RF classifier
50,20%,98.2098458478369,42,22
50,25%,98.12972542777557,42,22
50,30%,98.04376657824933,42,22
100,20%,98.65738438587768,42,22
100,25%,98.20931157978512,42,22
100,30%,97.97745358090185,42,22
200,20%,98.4087518647439,42,22
200,25%,98.20931157978512,42,22
200,30%,98.11007957559681,42,22
50,20%,98.30929885629041,42,42
50,25%,98.24910465578989,42,42
50,30%,98.0106100795756,42,42
100,20%,98.30929885629041,42,42
100,25%,98.28889773179466,42,42
100,30%,98.04376657824933,42,42
200,20%,98.4087518647439,42,42
200,25%,98.32869080779945,42,42
200,30%,98.20954907161804,42,42
50,20%,98.1103928393834,42,32
50,25%,98.20931157978512,42,32
50,30%,97.81167108753316,42,32
100,20%,98.4087518647439,42,32
100,25%,98.16951850378034,42,32
100,30%,97.97745358090185,42,32
200,20%,98.50820487319741,42,32
200,25%,98.40827695980899,42,32
200,30%,98.07692307692307,42,32
50,20%,98.55793137742417,40,22
50,25%,98.05013927576601,40,22
50,30%,98.04376657824933,40,22
100,20%,98.60765788165092,40,22
100,25%,98.0899323517708,40,22
100,30%,98.342175066313,40,22
200,20%,98.65738438587768,40,22
200,25%,98.12972542777557,40,22
200,30%,98.27586206896551,40,22
50,20%,98.01093983092989,40,42
50,25%,97.97055312375646,40,42
50,30%,97.94429708222812,40,42
100,20%,98.2098458478369,40,42
100,25%,98.05013927576601,40,42
100,30%,98.11007957559681,40,42
200,20%,98.45847836897066,40,42
200,25%,98.20931157978512,40,42
200,30%,98.20954907161804,40,42
50,20%,98.06066633515664,40,32
50,25%,97.97055312375646,40,32
50,30%,98.04376657824933,40,32
100,20%,98.4087518647439,40,32
100,25%,98.24910465578989,40,32
100,30%,98.27586206896551,40,32
200,20%,98.50820487319741,40,32
200,25%,98.20931157978512,40,32
200,30%,98.40848806366049,40,32
50,20%,98.50820487319741,32,22
50,25%,98.12972542777557,32,22
50,30%,98.20954907161804,32,22
100,20%,98.55793137742417,32,22
100,25%,98.32869080779945,32,22
100,30%,98.27586206896551,32,22
200,20%,98.60765788165092,32,22
200,25%,98.52765618782333,32,22
200,30%,98.342175066313,32,22
50,20%,98.25957235206366,32,42
50,25%,98.28889773179466,32,42
50,30%,98.07692307692307,32,42
100,20%,98.35902536051717,32,42
100,25%,98.48786311181854,32,42
100,30%,98.11007957559681,32,42
200,20%,98.4087518647439,32,42
200,25%,98.40827695980899,32,42
200,30%,98.20954907161804,32,42
50,20%,98.4087518647439,32,32
50,25%,98.32869080779945,32,32
50,30%,97.87798408488064,32,32
100,20%,98.35902536051717,32,32
100,25%,98.36848388380422,32,32
100,30%,98.27586206896551,32,32
200,20%,98.50820487319741,32,32
200,25%,98.5674492638281,32,32
200,30%,98.07692307692307,32,32
